time,posture,XY,Y,dyno,vm,dyno_vm,ankle
2021-06-07 15:47:57.001489718,3.0,95.28618315475214,91.15750983457255,0.0,0.0,0.0,
2021-06-07 15:47:58.001491108,3.0,95.38116858034458,91.23287383985368,0.0,0.0,0.0,
2021-06-07 15:47:59.001492497,3.0,95.41856622770979,91.25710403452658,0.0,0.0,0.0,
2021-06-07 15:48:00.001493887,3.0,95.44661384103378,91.30043243064604,0.0,0.0,0.0,
2021-06-07 15:48:01.001495277,3.0,95.5068501054936,91.38783175593848,0.0,0.0,0.0,
2021-06-07 15:48:02.001496666,3.0,95.54030817910927,91.45575485029926,0.0,0.0,0.0,
2021-06-07 15:48:03.001498056,3.0,94.5947664569889,91.52642655601925,0.0,0.0,0.0,
2021-06-07 15:48:04.001499446,4.0,92.47499330079876,91.93579876740203,0.0,0.0,0.0,
2021-06-07 15:48:05.001500835,4.0,93.34352985753482,92.84412855899988,0.0,0.0,0.0,
2021-06-07 15:48:06.001502225,3.0,95.36566133954115,93.59454156417925,0.0,0.0,0.0,
2021-06-07 15:48:07.001503615,3.0,94.82156445285877,93.37644042278569,0.0,0.0,0.0,
2021-06-07 15:48:08.001505004,3.0,93.08021359431244,92.29032505816947,0.0,0.0,0.0,
2021-06-07 15:48:09.001506394,3.0,92.23235534230689,91.59756898251771,0.0,0.0,0.0,
2021-06-07 15:48:10.001507784,3.0,92.44903263257447,91.67049872778188,0.0,0.0,0.0,
2021-06-07 15:48:11.001509173,3.0,92.76750350962723,91.86227530965756,0.0,0.0,0.0,
2021-06-07 15:48:12.001510563,3.0,92.70102909637275,91.8103320990978,0.0,0.0,0.0,
2021-06-07 15:48:13.001511953,3.0,92.45547478469709,91.63105109723458,0.0,0.0,0.0,
2021-06-07 15:48:14.001513342,3.0,92.3142276309598,91.51843636721738,0.0,0.0,0.0,
2021-06-07 15:48:15.001514732,3.0,92.33843741350725,91.52943298615833,0.0,0.0,0.0,
2021-06-07 15:48:16.001516122,3.0,92.450295282988,91.61996552720146,0.0,0.0,0.0,
2021-06-07 15:48:17.001517511,3.0,92.58965533875771,91.75275201927788,0.0,0.0,0.0,
2021-06-07 15:48:18.001518901,3.0,92.66229076100494,91.83397048382372,0.0,0.0,0.0,
2021-06-07 15:48:19.001520291,3.0,92.56612707202568,91.74998466892154,0.0,0.0,0.0,
2021-06-07 15:48:20.001521680,3.0,92.35676076657064,91.5453753987314,0.0,0.0,0.0,
2021-06-07 15:48:21.001523070,3.0,92.16807433199207,91.35182542953042,0.0,0.0,0.0,
2021-06-07 15:48:22.001524460,3.0,92.05153201819526,91.22763115996052,0.0,0.0,0.0,
2021-06-07 15:48:23.001525849,3.0,91.98256532962105,91.1614244128717,0.0,0.0,0.0,
2021-06-07 15:48:24.001527239,3.0,91.93957788786147,91.14108907902185,0.0,0.0,0.0,
2021-06-07 15:48:25.001528629,3.0,91.92545201709994,91.15887986883091,0.0,0.0,0.0,
2021-06-07 15:48:26.001530018,3.0,91.93460354607258,91.18906118413595,0.0,0.0,0.0,
2021-06-07 15:48:27.001531408,3.0,91.95808866800708,91.21601652439453,0.0,0.0,0.0,
2021-06-07 15:48:28.001532798,3.0,91.99601517282632,91.24070328125688,0.0,0.0,0.0,
2021-06-07 15:48:29.001534187,3.0,92.04780748098685,91.26221238760537,0.0,0.0,0.0,
2021-06-07 15:48:30.001535577,3.0,92.0636738261435,91.24193604023833,0.0,0.0,0.0,
2021-06-07 15:48:31.001536967,3.0,91.9634648973189,91.11557069476572,0.0,0.0,0.0,
2021-06-07 15:48:32.001538356,3.0,91.79082988895816,90.92501912072107,0.0,0.0,0.0,
2021-06-07 15:48:33.001539746,3.0,91.66358981329657,90.78516555733637,0.0,0.0,0.0,
2021-06-07 15:48:34.001541136,3.0,91.59325804950969,90.71726935364374,0.0,0.0,0.0,
